Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
"[20, 25, 30]",tanh,0.0001,32,20,0.33455175161361694,0.27712419629096985,10.465410232543945,wine_quality
"[20, 25, 30]",tanh,0.0001,64,10,0.3066564202308655,0.27450981736183167,2.544543981552124,wine_quality
"[20, 25, 30]",tanh,0.0001,64,15,0.3097345232963562,0.2810457646846771,3.0403950214385986,wine_quality
"[20, 25, 30]",tanh,0.0001,64,20,0.3149288296699524,0.27450981736183167,4.024687051773071,wine_quality
"[20, 25, 30]",tanh,0.0001,128,10,0.29915350675582886,0.2705882489681244,1.3770849704742432,wine_quality
"[20, 25, 30]",tanh,0.0001,128,15,0.3047325909137726,0.27450981736183167,2.037637948989868,wine_quality
"[20, 25, 30]",tanh,0.0001,128,20,0.30819547176361084,0.27843138575553894,2.700361967086792,wine_quality
"[20, 25, 30]",relu,0.01,32,10,0.2970373332500458,0.27581700682640076,3.2541449069976807,wine_quality
"[20, 25, 30]",relu,0.01,32,15,0.3464794158935547,0.2823529541492462,4.776914119720459,wine_quality
"[20, 25, 30]",relu,0.01,32,20,0.05175067484378815,0.018300654366612434,6.77847695350647,wine_quality
"[20, 25, 30]",relu,0.01,64,10,0.010580992326140404,0.003921568859368563,2.2720179557800293,wine_quality
"[20, 25, 30]",relu,0.01,64,15,0.005579068791121244,0.0013071895809844136,2.826493978500366,wine_quality
"[20, 25, 30]",relu,0.01,64,20,0.0044247787445783615,0.0026143791619688272,3.6126179695129395,wine_quality
"[20, 25, 30]",relu,0.01,128,10,0.10754135996103287,0.07712418586015701,1.1755378246307373,wine_quality
"[20, 25, 30]",relu,0.01,128,15,0.040784917771816254,0.013071895577013493,1.7801108360290527,wine_quality
"[20, 25, 30]",relu,0.01,128,20,0.017506733536720276,0.0026143791619688272,2.381877899169922,wine_quality
"[20, 25, 30]",relu,0.001,32,10,0.3228164613246918,0.2823529541492462,2.998016119003296,wine_quality
"[20, 25, 30]",relu,0.001,32,15,0.3264717161655426,0.2810457646846771,4.510558128356934,wine_quality
"[20, 25, 30]",relu,0.001,32,20,0.33397459983825684,0.2862745225429535,6.170218229293823,wine_quality
"[20, 25, 30]",relu,0.001,64,10,0.3207002580165863,0.2849673330783844,1.7797479629516602,wine_quality
"[20, 25, 30]",relu,0.001,64,15,0.32089266180992126,0.2875817120075226,2.706166982650757,wine_quality
"[20, 25, 30]",relu,0.001,64,20,0.3276260197162628,0.2862745225429535,3.5586459636688232,wine_quality
"[20, 25, 30]",relu,0.001,128,10,0.3166602551937103,0.29150328040122986,1.1834931373596191,wine_quality
"[20, 25, 30]",relu,0.001,128,15,0.31723740696907043,0.2875817120075226,1.7531511783599854,wine_quality
"[20, 25, 30]",relu,0.001,128,20,0.32108503580093384,0.2823529541492462,2.449256181716919,wine_quality
"[20, 25, 30]",relu,0.0001,32,10,0.42651018500328064,0.4575163424015045,3.1055948734283447,wine_quality
"[20, 25, 30]",relu,0.0001,32,15,0.4113120436668396,0.4470588266849518,4.509304046630859,wine_quality
"[20, 25, 30]",relu,0.0001,32,20,0.4420931041240692,0.4614379107952118,6.118963003158569,wine_quality
