dataset,classifier,splitting,feature_selection,scaling,n_features_orig,n_features,accuracy,precision,recall,f1,preprocess_time,training_time,prediction_time,f1_std
wine_quality,RandomForestClassifier,cv,p-value,standard,13,12,0.8812216402672524,0.8778561591412399,0.8812216402672524,0.8787024712561331,0.11415042877197265,5.393903160095215,0.11426815986633301,0.006305905031110101
wine_quality,SVC,holdout,p-value,standard,13,12,0.3347884486232371,0.35256783157539023,0.3347884486232371,0.32490862458108644,0.04824495315551758,4.760137557983398,2.2997074127197266,
wine_quality,SVC,cv,p-value,standard,13,12,0.31644174674450215,0.3447609502703549,0.31644174674450215,0.31705423779006847,0.05284185409545898,5.567072534561158,1.7288483142852784,0.007522297353157797
wine_quality,LinearSVC,holdout,,,13,13,0.18317662860980524,0.17227130795239953,0.18317662860980524,0.11638331639656999,0.0,5.139352083206177,0.004189014434814453,
wine_quality,LinearSVC,cv,,,13,13,0.17942968131040726,0.32495433575475924,0.17942968131040726,0.09344334821726688,0.000591897964477539,6.029150772094726,0.0009957313537597655,0.04888841770315632
wine_quality,DecisionTreeClassifier,holdout,,,13,13,0.7891202149093351,0.7861363044818598,0.7891202149093351,0.7872763517151776,0.0,0.22016382217407227,0.0035004615783691406,
wine_quality,DecisionTreeClassifier,cv,,,13,13,0.8062667437156158,0.8035561381130168,0.8062667437156158,0.804503427228639,0.0006779670715332031,0.2106257915496826,0.0006017208099365235,0.005088924258539673
wine_quality,RandomForestClassifier,holdout,,,13,13,0.8624916051040967,0.8583900726512368,0.8624916051040967,0.8595759336076494,0.0,2.7961716651916504,0.10395598411560059,
wine_quality,RandomForestClassifier,cv,,,13,13,0.8824305940994123,0.8791085471240156,0.8824305940994123,0.8799041441714752,0.0015774250030517578,3.19370493888855,0.06678423881530762,0.005945797630893432
wine_quality,SVC,holdout,,,13,13,0.09956346541302888,0.03338267837052885,0.09956346541302888,0.04621033495775012,0.0,8.948384761810303,2.766716718673706,
wine_quality,SVC,cv,,,13,13,0.09777331497183293,0.07810731861419828,0.09777331497183293,0.050053777706621796,0.0017186641693115235,10.466841840744019,2.085586738586426,0.0050408251370140655
wine_quality,LinearSVC,holdout,,standard,13,13,0.5097380792478173,0.4942259831779939,0.5097380792478173,0.4852521273554676,0.011461734771728516,3.788177490234375,0.0,
wine_quality,LinearSVC,cv,,standard,13,13,0.5148600781357537,0.49845889033347346,0.5148600781357537,0.49257698186348875,0.008809995651245118,4.44143123626709,0.0,0.004770621546216307
wine_quality,DecisionTreeClassifier,holdout,,standard,13,13,0.7876091336467428,0.78454969193695,0.7876091336467428,0.785768601337402,0.014083623886108398,0.19569993019104004,0.002463102340698242,
wine_quality,DecisionTreeClassifier,cv,,standard,13,13,0.806921554062926,0.8039834796708197,0.806921554062926,0.8049232995236784,0.007401084899902344,0.2084738254547119,0.0015994071960449218,0.005709424177044797
wine_quality,RandomForestClassifier,holdout,,standard,13,13,0.8651779717931498,0.8610941960973272,0.8651779717931498,0.862024758204976,0.011501312255859375,2.8286893367767334,0.09972524642944336,
wine_quality,RandomForestClassifier,cv,,standard,13,13,0.8814233545852265,0.8782090526088522,0.8814233545852265,0.8789284411027589,0.008482789993286133,3.1428839206695556,0.06515765190124512,0.007897868470934174
wine_quality,SVC,holdout,,standard,13,13,0.3398253861652116,0.3771486934343044,0.3398253861652116,0.340926018000385,0.00401759147644043,4.685692548751831,2.1895828247070312,
wine_quality,SVC,cv,,standard,13,13,0.3228882699318168,0.3513110966888358,0.3228882699318168,0.3216032629381331,0.00872340202331543,5.690021419525147,1.7066377639770507,0.017235608223717523
congression_voting,LinearSVC,holdout,p-value,,16,14,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.029703378677368164,0.0015444755554199219,0.0015232563018798828,
congression_voting,LinearSVC,cv,p-value,,16,13,0.9446088794926004,0.9458069134048326,0.9446088794926004,0.9438677788109973,0.030293893814086915,0.0031138896942138673,0.00041379928588867185,0.035832545515651924
congression_voting,DecisionTreeClassifier,holdout,p-value,,16,14,0.9545454545454546,0.9546784922394679,0.9545454545454546,0.9543804053607975,0.02828216552734375,0.0,0.0,
congression_voting,DecisionTreeClassifier,cv,p-value,,16,13,0.9306553911205073,0.9315019167011112,0.9306553911205073,0.9301149143653777,0.031058645248413085,0.001299571990966797,0.0006140232086181641,0.030524215683618457
congression_voting,RandomForestClassifier,holdout,p-value,,16,14,0.9393939393939394,0.9402958152958153,0.9393939393939394,0.9389209164818921,0.0316617488861084,0.1029820442199707,0.00864863395690918,
congression_voting,RandomForestClassifier,cv,p-value,,16,13,0.9493657505285412,0.9504734070586718,0.9493657505285412,0.9491107655880663,0.029274988174438476,0.09511737823486328,0.008658218383789062,0.017237396020822755
congression_voting,SVC,holdout,p-value,,16,14,0.8484848484848485,0.8498622589531681,0.8484848484848485,0.8457792207792207,0.023607730865478516,0.008910179138183594,0.0011894702911376953,
congression_voting,SVC,cv,p-value,,16,13,0.8755813953488373,0.8776871728184951,0.8755813953488373,0.8742278420101707,0.029937314987182616,0.0021121025085449217,0.0017189502716064454,0.023690625680169334
congression_voting,LinearSVC,holdout,p-value,standard,16,14,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.0364229679107666,0.0007798671722412109,0.0,
congression_voting,LinearSVC,cv,p-value,standard,16,13,0.9446088794926004,0.9448686485295401,0.9446088794926004,0.9440309750544102,0.03319954872131348,0.000214385986328125,0.0,0.024730820408578703
congression_voting,DecisionTreeClassifier,holdout,p-value,standard,16,14,0.9393939393939394,0.9402958152958153,0.9393939393939394,0.9389209164818921,0.030797958374023438,0.0,0.0,
congression_voting,DecisionTreeClassifier,cv,p-value,standard,16,13,0.9307610993657505,0.9313059937478542,0.9307610993657505,0.9304835776409817,0.03413724899291992,0.00048198699951171873,0.0,0.021446921385407117
congression_voting,RandomForestClassifier,holdout,p-value,standard,16,14,0.9545454545454546,0.9546784922394679,0.9545454545454546,0.9543804053607975,0.03308367729187012,0.09502029418945312,0.00801849365234375,
congression_voting,RandomForestClassifier,cv,p-value,standard,16,13,0.9538054968287527,0.9545906552395674,0.9538054968287527,0.9534910123452954,0.032523727416992186,0.09458332061767578,0.008034801483154297,0.015183024810394193
congression_voting,SVC,holdout,p-value,standard,16,14,0.9545454545454546,0.9546784922394679,0.9545454545454546,0.9543804053607975,0.031664371490478516,0.0,0.0,
congression_voting,SVC,cv,p-value,standard,16,13,0.9354122621564482,0.9403803096216331,0.9354122621564482,0.93403434401737,0.03378086090087891,0.0003063678741455078,0.0,0.03335122961030182
congression_voting,LinearSVC,holdout,,,16,16,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.0,0.007017850875854492,0.0013561248779296875,
