Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Average Accuracy,Average F1,Average Training Time,dataset
"[25, 27]",tanh,0.004612524810985786,64,11,0.9632135306553911,0.9632991015629649,0.1243978500366211,cong_voting
"[24, 28]",relu,0.0047124347987306725,64,10,0.9309725158562367,0.9303979982742134,0.06860241889953614,cong_voting
"[25, 26]",sigmoid,0.001,32,11,0.6313953488372094,0.48920605254876265,0.12249960899353027,cong_voting
"[25, 28]",sigmoid,0.006820890062536492,32,9,0.9494714587737845,0.9495939426678875,0.11756181716918945,cong_voting
"[24, 28]",sigmoid,0.009343642623431701,64,11,0.9219873150105709,0.9223937862606129,0.07651243209838868,cong_voting
"[24, 28]",tanh,0.001,128,9,0.44661733615221993,0.45538417149803684,0.05016350746154785,cong_voting
"[24, 27]",relu,0.001,128,10,0.9034883720930231,0.9025354554686832,0.05233221054077149,cong_voting
"[25, 26]",tanh,0.015194010576598128,64,9,0.9540169133192389,0.954138950735644,0.06053323745727539,cong_voting
"[25, 26]",tanh,0.0032478860895302783,32,11,0.9448202959830867,0.944892424227984,0.12242703437805176,cong_voting
"[25, 27]",tanh,0.007153590120334968,64,10,0.9632135306553911,0.9632991015629649,0.06373748779296876,cong_voting
"[24, 28]",relu,0.011821474020175627,128,9,0.940169133192389,0.9394657928629988,0.0547386646270752,cong_voting
"[26, 31]",tanh,0.019684835248669832,128,9,0.8974459183706249,0.8671145399381228,7.13322081565857,bank_marketing
"[27, 32]",relu,0.01398084833147586,128,10,0.8972517259461105,0.8679038071998342,7.9479451179504395,bank_marketing
"[27, 33]",sigmoid,0.012974248568612312,128,10,0.8983685372314,0.8716287875705679,8.522835731506348,bank_marketing
"[26, 32]",tanh,0.013152133104583493,128,9,0.8976401284795426,0.8747943959163299,7.510201787948608,bank_marketing
"[26, 32]",tanh,0.012329893466165373,128,8,0.8961350030828334,0.8758316597300807,6.319793844223023,bank_marketing
"[27, 32]",sigmoid,0.015723975887392803,64,9,0.8987570046076415,0.8729234790139696,10.659401607513427,bank_marketing
"[25, 33]",sigmoid,0.004630428710592428,32,8,0.8986356129736668,0.8742220215966551,15.484266710281371,bank_marketing
"[26, 33]",relu,0.012917157318933475,64,9,0.8975431265840988,0.8747314129798077,10.695550632476806,bank_marketing
