Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
223061.jpg,75.36285327640705,75.29783625043956,78.14136354142352
101087.jpg,76.62454418966784,76.55489951549902,77.03891735228832
8023.jpg,75.58467439602418,75.75175502906684,78.13132522891657
291000.jpg,74.26347659925766,74.3419427190826,76.7056803533366
160068.jpg,76.87747065412745,76.81491025693349,77.7799345035632
196073.jpg,76.79425893402153,76.4182889455048,80.99212588144603
86016.jpg,74.62838975586469,74.62288622169449,78.96237539293321
87046.jpg,74.63302532706145,74.9017348588483,75.87039756191922
105025.jpg,75.10304440950172,75.38374194211748,76.28303085628286
300091.jpg,77.56051837701166,77.0916043470322,78.48219503631177
69015.jpg,75.13579718672311,75.26522050592123,77.06796349380386
253027.jpg,75.44387000832602,75.4373507798676,77.97050436098768
108070.jpg,75.01154318545991,74.99139625834925,77.85190733186386
24077.jpg,74.7711108495161,75.01506150806972,75.40629792465872
126007.jpg,77.00273447970692,76.66739564431944,77.89838704036437
304034.jpg,74.32317010695454,74.44772651628665,76.14345349165913
170057.jpg,75.74976398517211,75.78236162156695,77.5436660608608
66053.jpg,74.8106022805686,75.04935545589376,77.7187452699283
