Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
241048.jpg,75.9666651004627,76.17761632905356,78.66461411453889
86068.jpg,76.59077959065294,76.60406078902648,79.95659672792695
3096.jpg,85.04359924052146,83.87945768272817,83.96725492120707
147091.jpg,78.31496071769986,77.75359134506814,78.97012151803926
220075.jpg,77.1241243920862,77.36728678313052,77.83364506945125
42012.jpg,77.2400197246216,77.88847781196786,78.74301895101692
304074.jpg,75.79955024171555,75.99545539548498,77.7093426207127
175032.jpg,74.54001599735756,74.70345678115264,76.67864611849576
78004.jpg,76.8028104196584,76.72395899283781,77.67064921392948
123074.jpg,76.96321049298393,77.68465529842578,78.70399288808773
33039.jpg,74.40460986957922,74.63874180692036,75.16095632134973
296059.jpg,78.45208085331352,78.48512248478974,80.55207219249333
69040.jpg,75.49941423144541,75.8614443786419,77.49878788325849
41069.jpg,75.25608255603898,75.44288953363045,78.28639504805375
145086.jpg,77.12914547342243,76.47665323135512,77.94419088599234
58060.jpg,76.02736959397876,76.01544100020195,77.85068177352464
102061.jpg,78.36162333737488,78.22772378134272,79.40258405157005
236037.jpg,75.38097452711526,75.78662308448969,77.47526574350401
97033.jpg,75.92167640525788,76.3421262229007,77.40617687000544
43074.jpg,79.29524345877168,79.12093536927914,81.30869458543177
16077.jpg,76.46404022177185,76.71791533052843,78.12572076960366
260058.jpg,79.37752529668492,79.36902899432856,82.08932546141595
351093.jpg,76.23111292940546,76.40510328355253,77.90245887826578
253055.jpg,80.14166895426193,79.66600514383809,82.2811228014071
271035.jpg,76.30459158109686,76.56231377508158,77.64042493429628
302008.jpg,79.0491375086709,78.96297735401986,78.8861647568134
148026.jpg,75.21487648877809,75.33104176986474,75.90723684607339
109053.jpg,77.67915435548059,78.02601353436431,79.2686822105232
62096.jpg,76.9306937431094,77.30528187944849,78.61319410464279
216081.jpg,76.59218797410713,76.46101050657502,78.00986175425054
189080.jpg,79.79650423750901,79.53671474129887,80.35685890366457
108005.jpg,76.0760535989235,76.42635256616629,77.55219655136773
385039.jpg,76.63170112348834,76.50825797198769,78.12000385734707
119082.jpg,75.52604152218069,75.82239255363675,76.89081887784006
19021.jpg,76.57077286266313,76.77347419340614,78.0087444032378
54082.jpg,78.01806518342622,77.93935239570447,80.35624062208008
86000.jpg,76.74370290300212,76.28265690024105,77.38163875007405
167062.jpg,81.44014116419804,80.9986601310773,82.37464004381567
55073.jpg,75.24304178564395,75.36338161881224,77.24964317739875
101085.jpg,75.35710909264098,75.63734226940967,77.22362452190899
76053.jpg,77.10343909262153,77.21945955664448,79.89588515966273
223061.jpg,76.27393455692696,76.51142861788108,78.23931610103585
101087.jpg,78.369097657108,78.12103421993136,79.34991983680945
8023.jpg,77.84739320136832,78.56812347180276,78.98014802565729
291000.jpg,74.69500190398645,74.75097984710047,76.82373141111174
160068.jpg,78.1315324159751,78.13543951857285,79.04423236085296
196073.jpg,77.2618378329933,77.26971388392056,83.08452694337531
86016.jpg,74.90905658517393,75.03914455801096,78.95755008559374
87046.jpg,76.20064545012185,76.91252888150974,77.36396787114799
105025.jpg,76.40022199051847,76.67365864760272,78.47598377811723
300091.jpg,79.00020612008252,78.83769359312706,80.82477115832368
69015.jpg,77.05393599249888,77.18672531973971,78.22643316785802
253027.jpg,76.6833899541492,76.84380834493564,78.53430691905467
108070.jpg,75.6548644294402,75.81232024582239,77.81601577796616
24077.jpg,76.29392427192619,76.80319408480425,76.84716224886556
126007.jpg,78.48813443269522,78.41831090215217,79.83432036507759
304034.jpg,75.21494921643551,75.56859938968825,76.71297559095112
170057.jpg,77.50083707836738,77.78515107049826,78.59724868299813
66053.jpg,76.4072518497806,76.7086483226496,78.9747490453442
