Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred
361010.jpg,0.4711611034898295,0.5162562968303798,0.7749757596857029
227092.jpg,0.6177265856447899,0.5942784459557006,0.7486956879078557
163085.jpg,0.4713114913751997,0.5445231276638122,0.7619420587978779
241048.jpg,0.36996118696999797,0.41514906456624817,0.8267544461959536
86068.jpg,0.32932589385485483,0.3824765908836209,0.7288314607181622
3096.jpg,0.8311707221026964,0.757528012030866,0.7873451747906394
147091.jpg,0.5964719576136601,0.5922813458369994,0.8338137290443633
220075.jpg,0.45525069134114315,0.5284294047413646,0.7691125522882577
42012.jpg,0.45579708797675705,0.5573612543536832,0.7858978618722176
304074.jpg,0.32841376045894305,0.41494934741950146,0.7565433162719112
175032.jpg,0.15151388258631662,0.21295906414106022,0.68194874351407
78004.jpg,0.4248566084298289,0.5053454350374544,0.7616718430151733
123074.jpg,0.40874423574896684,0.4962350490058393,0.7901763473497502
33039.jpg,0.2051105518316927,0.3508407396555741,0.6774371953036301
296059.jpg,0.5572738022102235,0.5838423415957706,0.7887476224895512
69040.jpg,0.22944910347871117,0.29174882389170476,0.7098300046228253
41069.jpg,0.23420991007072933,0.28881253391850203,0.8161535096169699
145086.jpg,0.43892124938600796,0.48131629405138326,0.8265865981262444
58060.jpg,0.3381843986841457,0.36114076970849207,0.7950533979740076
102061.jpg,0.5966155016212045,0.6068007873069196,0.8064563260225116
236037.jpg,0.25177884968648273,0.3349772669361985,0.7787182467640338
97033.jpg,0.34603130068991134,0.41959794940765,0.8032826389427914
43074.jpg,0.5630554352260367,0.5904702585461232,0.7319934733474862
16077.jpg,0.42559350526723616,0.5192013636917957,0.7952301142574537
260058.jpg,0.5467180075094537,0.5522862917485479,0.8262984957109168
351093.jpg,0.43626552612845443,0.49147224912220233,0.8464368015722016
253055.jpg,0.6351705188747506,0.6233906667674916,0.8498083164004294
271035.jpg,0.38475876603504316,0.4620588910692421,0.7841467745632541
302008.jpg,0.6326593185966151,0.6507607762429013,0.8198144770230792
148026.jpg,0.27990094113259445,0.36553090572585534,0.724381641666402
109053.jpg,0.46197444005261373,0.5356486087072306,0.7543917767602126
62096.jpg,0.46520857828627654,0.4929017988592784,0.81935051568956
216081.jpg,0.42526717433027006,0.4635994899882416,0.8146103733532838
189080.jpg,0.6643905928332124,0.7010708603967197,0.825662685236782
108005.jpg,0.3261793943937424,0.39637242384774624,0.7527512272431286
385039.jpg,0.4392339258787583,0.4937169177760943,0.805970691592279
119082.jpg,0.3237028635448019,0.40944380151643034,0.7747308105293053
19021.jpg,0.4095205431821407,0.4891296782283772,0.7656853093891481
54082.jpg,0.5156229213002649,0.5391235938013105,0.7688720773723888
86000.jpg,0.46760020417984816,0.4750948831866544,0.7846520212513918
167062.jpg,0.7105868065878814,0.701595838901108,0.9021015216321074
55073.jpg,0.23801239989756875,0.31454580896650347,0.7820774342380298
101085.jpg,0.3052246762984579,0.3945881090079178,0.8123697819608307
76053.jpg,0.3973699846655066,0.4228374388532377,0.8005543581626636
223061.jpg,0.36726734893625407,0.39819242049955744,0.8205612135169541
101087.jpg,0.6170619858275807,0.6459055900323163,0.838999797878519
8023.jpg,0.41804880375559184,0.49771209100327884,0.7523613827481178
291000.jpg,0.1890543465721207,0.2503338095049448,0.7607262082156033
160068.jpg,0.5936471794156709,0.6097093343725434,0.7921751614312793
196073.jpg,0.33590705194357456,0.3471531132188432,0.5838174096181152
86016.jpg,0.16393468055380322,0.18296366492068436,0.7707284470303719
87046.jpg,0.33841748389135184,0.4529255692870043,0.7690691230063669
105025.jpg,0.43842178342019505,0.5158907144214834,0.8134834946505011
300091.jpg,0.6143951432809103,0.6178937901161242,0.8455791675302667
69015.jpg,0.4453207780996709,0.517809956758522,0.7886947053971157
253027.jpg,0.35813706837943843,0.3995815054143604,0.73917932837238
108070.jpg,0.3044381701680146,0.3472122549072978,0.8022031173424363
24077.jpg,0.4014681847764228,0.4832310075412949,0.7648248173032264
126007.jpg,0.6091133919047964,0.6121765239048461,0.8186141800049844
304034.jpg,0.24965872981989548,0.3488322756687374,0.7533580938442436
